"SiteName","Date","Value","Method","parameter","Censored","CenType","X","LAWAID","ID","UsedInLAWA","AltitudeGroup","LanduseGroup","FrequencyAll","Frequency","Region","Agency","ISLAND","CatchID","CatchType","NZREACH","Catchment","Comments","LawaCatchm","CatchLbl"
"Makaroro at Burnt Br.",2010-12-01 09:30:00,3.95,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-11-05 09:20:00,2.45,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-08-05 09:40:00,0.14,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-01-05 09:30:00,5.7,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-09-06 09:30:00,0.17,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-11-02 09:30:00,1.04,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-08-06 10:00:00,0.08,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-09-02 09:30:00,0.28,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-10-02 09:30:00,0.27,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-10-09 09:30:00,0.46,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-12-04 09:30:00,4.9,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-09-07 09:30:00,3.55,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-10-08 09:30:00,0.52,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-11-04 09:30:00,2.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-10-04 09:30:00,0.37,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-07-06 09:30:00,0.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-09-03 09:30:00,1.02,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-12-07 09:30:00,2.9,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-10-05 09:30:00,4.54,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-11-07 09:30:00,3.2,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-12-05 09:20:00,5.5,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-04-02 09:30:00,10.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-06-02 09:30:00,4.4,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-07-06 09:30:00,1.6,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-02-03 09:30:00,0.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-05-04 09:40:00,1.75,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-06-03 09:30:00,0.09,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-08-02 09:30:00,0.41,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-07-02 09:30:00,2.8,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-03-18 09:15:00,12.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-08-01 09:40:00,0.35,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-05-05 09:30:00,2.45,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-06-04 09:40:00,0.9,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-07-07 09:30:00,0.2,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-01-07 09:25:00,6.8,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-02-11 09:30:00,6.85,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-03-04 10:30:00,12.7,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-08-03 09:30:00,5.35,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-01-13 09:30:00,9.6,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-03-03 09:30:00,1.97,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-11-02 09:15:00,1.85,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-05-05 09:30:00,7.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-07-08 09:30:00,3.45,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-02-03 09:30:00,5.8,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-09-05 09:30:00,5.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-12-01 10:30:00,6.16,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-11-04 09:30:00,1.95,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-02-01 09:30:00,0.22,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-03-05 09:05:00,8.2,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-04-10 09:45:00,8.7,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-03-01 09:30:00,6.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-04-04 09:30:00,4.2,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-05-03 09:30:00,0.06,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2010-04-06 09:30:00,0.9,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-11-08 09:30:00,3.64,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-01-15 09:30:00,2.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-10-11 09:40:00,1.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-12-06 09:35:00,7.5,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-01-10 09:30:00,7.8,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-01-05 09:30:00,6.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-02-02 09:30:00,7.4,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-01-09 09:30:00,0.04,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-02-01 09:30:00,6.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-03-05 09:30:00,3.15,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-04-02 09:30:00,0.37,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-09-07 09:40:00,0.78,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-10-05 09:30:00,0.23,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2012-06-05 09:30:00,5.6,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-06-04 09:40:00,15.45,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-10-09 09:30:00,0.52,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-11-11 09:30:00,6.2,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-07-05 09:30:00,2.4,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-11-03 13:30:00,1.47,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-02-14 09:30:00,8.09,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-08-10 09:30:00,2.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-12-05 09:30:00,0.23,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-01-07 09:30:00,5.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-05-07 09:30:00,8.9,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2009-12-07 09:30:00,0.46,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-04-02 09:30:00,6.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2013-05-07 09:35:00,0.21,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2011-06-09 09:30:00,3.55,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-09-10 09:30:00,0.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-07-07 09:35:00,0.41,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-03-10 09:30:00,8.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-09-08 09:30:00,0.13,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-10-06 09:20:00,0.62,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-01-11 09:25:00,7.6,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-07-11 09:30:00,0.13,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2015-04-07 09:30:00,8.05,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-05-05 09:30:00,0.42,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-06-07 09:30:00,5.3,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2014-06-03 09:35:00,4.1,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2007-08-07 09:30:00,0.27,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-12-08 09:30:00,7.21,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
"Makaroro at Burnt Br.",2008-09-02 09:45:00,0.4,"Refer NIWA","BDISC",FALSE,"FALSE",896,"NRWQN-00013","HV1","Yes","Upland","Forest","Monthly","Monthly","Hawkes Bay","NIWA","North",33,"Parent",0,33,"Tukituki SW",1,"Tukutuki River"
